| #  | Trade Date | Exit Date  |Ticker |Enter Price | Stop Loss  |Take Profit | Exit Price | Winner |  Capital   | Position |Spread|
|104 | 2018-01-11 | 2018-01-19 | MLCO  |      27.220|      24.498|       0.000|      29.145|  Yes   |   3,547.319|   Long   | 0.025|
|105 | 2018-01-15 | 2018-01-19 | AVGO  |      26.330|      23.697|       0.000|      26.635|  Yes   |   3,587.152|   Long   | 0.005|
|106 | 2018-01-19 | 2018-02-08 | HOLX  |      43.460|      39.114|       0.000|      39.075|   No   |   3,226.622|   Long   | 0.039|
|107 | 2018-01-22 | 2018-02-05 |  BB   |      13.280|      11.952|       0.000|      11.936|   No   |   2,900.123|   Long   | 0.016|
|108 | 2018-01-25 | 2018-01-29 |  ADI  |      91.980|      82.782|       0.000|      93.688|  Yes   |   2,952.064|   Long   | 0.092|
|109 | 2018-01-29 | 2018-02-08 | FSLR  |      68.350|      61.515|       0.000|      61.478|   No   |   2,655.552|   Long   | 0.037|
|110 | 2018-02-01 | 2018-02-09 |  WBD  |      25.280|      22.752|       0.000|      22.741|   No   |   2,387.996|   Long   | 0.011|
|111 | 2018-02-05 | 2018-02-07 | EXAS  |      47.130|      42.417|       0.000|      48.128|  Yes   |   2,436.918|   Long   | 0.042|
|112 | 2018-02-09 | 2018-02-13 | MNST  |      31.440|      28.296|       0.000|      31.689|  Yes   |   2,455.059|   Long   | 0.001|
|113 | 2018-02-13 | 2018-02-27 | WYNN  |     164.660|     148.194|       0.000|     168.245|  Yes   |   2,504.249|   Long   | 0.505|
|114 | 2018-02-16 | 2018-04-03 | FOLD  |      15.170|      13.653|       0.000|      13.642|   No   |   2,251.074|   Long   | 0.011|
|115 | 2018-02-19 | 2018-02-27 | QCOM  |      63.990|      57.591|       0.000|      64.929|  Yes   |   2,282.937|   Long   | 0.071|
|116 | 2018-02-23 | 2018-02-28 | WING  |      44.380|      39.942|       0.000|      45.194|  Yes   |   2,323.464|   Long   | 0.116|
|117 | 2018-02-27 | 2018-03-01 |  LKQ  |      39.330|      35.397|       0.000|      39.367|  Yes   |   2,324.670|   Long   | 0.013|
|118 | 2018-03-01 | 2018-03-07 | ERIC  |       6.480|       5.832|       0.000|       6.747|  Yes   |   2,418.357|   Long   | 0.003|
|119 | 2018-03-05 | 2018-03-07 |  LKQ  |      38.920|      35.028|       0.000|      38.934|  Yes   |   2,418.194|   Long   | 0.066|
|120 | 2018-03-08 | 2018-03-12 | ROST  |      75.220|      67.698|       0.000|      76.350|  Yes   |   2,453.358|   Long   | 0.080|
|121 | 2018-03-12 | 2018-03-15 | NMIH  |      18.050|      16.245|       0.000|      16.239|   No   |   2,207.907|   Long   | 0.006|
|122 | 2018-03-15 | 2018-03-23 | FOSL  |      11.610|      10.449|       0.000|      12.354|  Yes   |   2,348.353|   Long   | 0.046|
|123 | 2018-03-19 | 2018-04-19 | WDAY  |     131.600|     118.440|       0.000|     131.830|  Yes   |   2,351.260|   Long   | 0.140|
